ID,target,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19
53,-310.6,1495.08,0.0,2000.0,391.87,,480.55,0.0,6,69.0,1,1.4,0.8,480.38,8.75,0.0,-4.2,A4,718.9,C1,B1
54,910.4,1329.8,0.0,2000.0,530.1,-462.34,540.16,0.1,19,83.0,0,0.4,24.7,,17.3,0.0,21.6,A3,576.57,C1,B1
55,306.4,1398.85,0.0,1219.0,260.27,-475.29,,0.82,9,60.0,3,0.9,4.7,402.74,-242.26,0.0,-2.4,A4,573.84,C1,B1
56,-112.6,1310.47,0.0,881.0,463.51,,372.1,1.3,,62.0,5,0.6,32.8,442.27,27.5,0.0,24.5,A3,584.21,C1,B1
57,-501.6,1364.36,1.5,242.0,433.24,-563.96,303.92,0.03,19,94.0,1,4.7,24.2,456.66,-52.85,0.0,23.1,A3,717.09,C1,B1
58,120.4,1365.73,0.0,1782.0,550.39,,296.4,0.0,22,48.0,2,2.2,,269.42,-205.13,0.0,-5.4,A4,595.21,C1,B1
59,2699.4,,0.0,2000.0,,-690.38,542.79,1.28,18,53.0,3,3.6,24.9,338.56,-120.4,0.0,14.6,A3,523.07,C1,B1
60,-425.6,1395.1,0.0,189.0,432.39,-589.79,476.72,0.0,7,86.0,3,1.1,,336.44,-59.48,0.0,,A1,413.17,C1,B1
61,-348.6,1596.42,0.0,792.0,402.0,-614.07,524.13,0.85,13,55.0,5,3.0,6.3,471.76,-143.41,0.0,-2.0,A1,696.27,C1,B1
62,-448.6,,0.0,2000.0,,-735.76,229.06,0.0,5,72.0,6,0.4,25.5,287.82,-76.28,,20.0,A3,,C1,B1
63,-670.6,1390.2,,2000.0,291.76,-422.33,503.1,0.0,5,37.0,,2.7,-15.8,405.2,,,-27.1,A1,532.88,C1,B1
64,1186.4,1529.47,0.0,,426.64,-671.58,389.93,0.08,19,48.0,1,1.1,27.8,529.54,14.64,0.0,15.7,A4,653.45,C1,B1
65,403.4,1365.96,0.0,2000.0,293.3,-641.85,408.36,,,45.0,,1.4,29.9,557.08,-43.43,0.0,,A3,760.51,C1,B1
66,1810.4,1303.09,0.0,2000.0,381.19,-511.51,401.76,0.12,20,43.0,0,2.1,25.7,427.13,70.53,0.0,12.1,A3,586.51,C1,B1
67,-531.6,1453.03,0.0,1891.0,362.51,,457.23,0.64,15,55.0,1,2.5,-1.6,412.03,97.31,0.0,,A1,531.43,C1,B1
68,1353.4,1341.25,0.0,1932.0,427.49,,,0.09,20,72.0,6,2.1,29.2,403.24,-58.45,0.0,23.6,A3,546.1,C1,B1
69,2533.4,1531.35,0.0,931.0,379.82,-554.2,560.48,0.74,18,43.0,0,1.6,30.7,382.49,-60.11,0.0,16.6,A3,543.0,C1,B1
70,298.4,1785.69,0.0,,199.79,-525.37,355.95,0.0,22,,2,1.4,13.2,417.22,-162.95,0.0,8.6,A4,572.81,C1,B1
71,-516.6,1601.23,0.0,1964.0,327.07,-652.37,505.21,1.97,12,,0,2.6,-6.0,443.6,15.9,0.0,-23.3,A1,568.73,C1,B1
72,-632.6,1286.91,0.0,472.0,182.02,-449.31,403.91,0.0,4,56.0,2,1.7,5.4,548.12,-139.46,0.0,-2.6,A1,666.56,C1,B1
73,221.4,1749.52,,874.0,431.56,,435.39,0.0,0,82.0,0,2.2,19.1,497.94,-215.83,0.0,15.9,A3,539.45,C1,B1
74,1485.4,1199.87,0.0,,240.32,-762.98,453.81,0.91,17,46.0,,2.0,24.9,186.27,-79.22,0.0,12.4,A3,618.89,C1,B1
75,-76.6,1002.83,0.0,350.0,242.91,-336.27,420.7,,9,77.0,3,0.0,10.1,,46.06,0.0,6.2,A4,702.03,C1,B1
76,157.4,1343.95,0.0,1371.0,325.7,-666.81,570.3,2.45,10,45.0,5,1.3,,410.83,62.71,0.0,12.5,A3,535.81,C1,B1
77,-601.6,1545.45,,410.0,330.73,-641.27,213.18,0.15,9,82.0,,1.6,-1.9,430.28,-70.91,1.2,-4.5,A1,548.22,C1,B2
78,446.4,1386.66,0.0,1120.0,459.96,-598.41,315.62,3.34,13,47.0,,2.5,25.0,375.84,74.07,0.0,12.8,A2,,C1,B1
79,-415.6,1007.47,0.0,,355.19,,,,6,63.0,6,1.6,29.1,451.19,97.24,0.0,21.3,A3,718.01,C1,B1
80,-301.6,1376.53,,1117.0,345.06,-992.42,301.25,1.1,16,35.0,0,2.9,6.3,299.02,-88.27,0.0,-8.0,A1,739.5,C1,B1
81,-274.6,1293.91,,1600.0,240.11,-704.59,,0.0,1,64.0,6,1.0,16.0,,45.17,,9.1,A2,494.4,C1,B1
82,518.4,1435.53,0.0,1787.0,300.22,-775.04,225.24,1.49,16,30.0,5,4.5,,379.11,-87.08,0.0,4.6,A2,621.65,C1,B1
83,831.4,1316.87,0.0,1653.0,,-543.56,558.92,,18,25.0,2,2.0,,307.43,-129.07,0.0,-12.3,A4,662.0,C1,B1
84,-270.6,1211.47,0.5,1716.0,313.21,-701.11,512.6,0.2,10,,4,0.7,23.3,548.38,-40.58,0.0,21.3,A4,585.74,C1,B1
85,-564.6,1144.01,0.0,436.0,196.83,-490.56,498.26,0.0,6,69.0,1,0.6,1.2,485.31,-218.18,0.0,-3.8,A1,582.71,C1,B1
86,-163.6,1182.97,,2000.0,217.38,-718.12,,0.0,1,59.0,5,0.1,7.3,544.43,-76.5,0.0,-0.1,A4,594.37,C1,B1
87,336.4,1737.02,,2000.0,178.76,-613.48,302.03,0.0,22,,2,1.5,10.9,553.8,-163.15,0.0,2.9,A2,501.98,C1,B1
88,-40.6,1259.75,,1411.0,259.33,-339.9,222.23,0.4,18,,2,3.2,6.2,387.76,-58.3,0.0,-0.7,A2,629.06,C1,B1
89,-317.6,1238.23,0.0,1519.0,476.29,-727.8,512.53,0.17,9,42.0,4,1.3,-2.1,441.21,25.33,0.0,,A1,584.51,C1,B1
90,-348.6,1478.53,0.0,1138.0,332.66,-542.24,491.25,,15,49.0,,4.4,5.0,,46.87,0.0,-4.8,A1,556.04,C1,B1
91,-408.6,1512.44,0.0,2000.0,134.2,-305.88,297.44,0.0,1,49.0,1,0.6,-4.1,565.94,9.47,0.0,-13.2,A1,665.45,C1,B1
92,-649.6,1277.09,1.5,1072.0,270.98,-646.98,600.48,0.0,19,96.0,3,2.4,16.6,442.82,71.15,0.0,15.9,A4,721.36,C1,B1
93,-589.6,1369.48,0.0,1825.0,265.07,-576.5,343.89,0.0,,53.0,0,4.1,-1.8,486.41,-78.92,0.0,-10.1,A1,619.43,C1,B2
94,-663.6,1389.13,0.0,1626.0,198.97,-534.02,277.16,0.0,3,62.0,3,0.4,-2.5,305.31,,0.0,-8.7,A1,720.24,C1,B1
95,-131.6,1323.26,0.0,1314.0,,-473.93,,0.02,19,67.0,2,2.6,5.3,306.93,-168.46,0.0,-0.3,A2,650.96,C1,B1
96,-548.6,,0.0,1984.0,342.24,-579.84,252.93,0.56,14,33.0,2,2.7,-0.7,362.4,1.7,,-15.0,A1,583.14,C1,B1
97,-559.6,1683.57,,2000.0,89.45,,250.32,0.0,22,30.0,3,0.8,-1.9,509.38,,0.0,-17.2,A1,755.05,C1,B2
98,-458.6,1191.88,0.0,1877.0,326.02,-881.11,631.05,0.0,4,75.0,5,0.4,8.9,443.49,-93.06,0.0,4.7,A4,719.19,C1,B1
99,-369.6,1517.79,0.0,,449.6,-536.49,232.44,0.0,2,58.0,0,0.3,16.5,369.83,-212.9,0.0,8.1,A2,507.11,C1,B1
100,857.4,1365.27,0.0,,272.47,-846.61,,0.0,20,53.0,5,2.0,19.7,,58.4,0.0,9.8,A2,,C1,B1
101,1628.4,1471.92,0.0,2000.0,237.21,-727.07,,1.17,,51.0,5,1.6,24.8,420.8,-186.64,0.0,13.9,A3,704.95,C1,B1
102,335.4,1318.45,0.0,,123.4,-733.06,542.72,2.06,14,31.0,3,2.5,14.9,480.62,-213.31,,-2.1,A4,523.03,C1,B1
103,-704.6,1439.34,0.0,1836.0,621.81,-501.38,464.96,,15,39.0,2,1.4,25.9,418.72,-170.49,0.0,10.8,A4,713.06,No,B1
104,1583.4,1228.67,0.0,,77.84,-571.89,374.33,0.38,19,59.0,5,2.8,25.7,442.73,-162.86,,17.0,A3,424.26,C1,B1
105,-531.6,1372.99,0.0,1394.0,240.82,-386.88,411.69,0.43,9,48.0,6,1.1,-0.3,480.83,20.88,0.0,-10.0,A1,650.66,C1,B1
106,50.4,1641.59,,994.0,279.74,-429.1,163.58,0.0,2,76.0,6,1.1,20.5,547.62,,0.0,16.1,A3,,C1,B1
107,-605.6,1263.43,0.0,2000.0,301.02,-604.69,462.98,,0,33.0,6,1.7,-3.6,442.31,-98.59,0.0,-17.5,A1,578.81,C1,B1
108,1313.4,1337.16,0.0,2000.0,48.64,-778.88,655.52,0.0,21,50.0,4,,22.2,427.1,-44.04,0.0,11.2,A4,750.08,C1,B1
109,-498.6,1413.67,0.0,,291.22,-785.98,402.6,0.45,11,85.0,0,1.1,18.0,438.67,-19.24,0.0,15.4,A2,,C1,B1
110,-565.6,,0.0,705.0,338.27,-563.27,162.36,0.0,3,80.0,2,0.6,1.3,,-79.81,0.0,-1.7,A2,605.0,C1,B1
111,-490.6,1350.59,0.0,1984.0,187.41,-641.16,277.04,0.0,7,57.0,1,0.9,-11.3,416.42,-177.93,0.0,-18.1,A1,673.82,C1,B1
112,-575.6,1545.23,,906.0,461.13,-587.68,331.93,0.0,6,64.0,4,0.7,-7.4,416.09,93.41,0.0,-13.0,A1,642.49,C1,B1
113,-85.6,1132.52,0.0,590.0,461.12,-598.45,290.2,0.78,15,93.0,2,1.0,24.2,470.33,-204.91,0.0,22.9,A3,471.59,C1,B1
114,-704.6,1195.24,0.0,201.0,401.56,,420.42,0.01,18,71.0,0,1.5,,306.97,-135.66,0.0,8.8,A4,576.88,No,B1
115,-52.6,1297.61,0.0,2000.0,203.43,-634.26,433.8,0.0,7,59.0,,2.9,3.7,415.86,-196.62,0.0,-3.5,A2,770.72,C1,B1
116,-665.6,1312.68,0.0,367.0,167.14,-665.69,263.23,0.0,7,86.0,6,1.7,-1.8,330.68,-160.01,1.2,-3.8,A1,576.11,C1,B2
117,1650.4,1348.87,,1653.0,160.89,-764.0,385.65,0.7,17,39.0,3,2.9,28.2,431.48,-13.41,0.0,12.9,A3,636.51,C1,B1
118,-508.6,1707.71,,2000.0,334.12,-461.44,448.87,,16,30.0,0,3.9,-5.4,514.14,-6.98,0.2,-20.2,A1,478.69,C1,B1
119,-407.6,,0.0,1068.0,102.43,-661.15,304.24,0.0,3,81.0,4,1.7,23.3,422.76,-79.15,0.0,19.8,A3,757.13,C1,B1
120,492.4,1184.16,0.0,962.0,296.84,-319.22,425.25,2.55,12,36.0,3,2.2,19.6,489.51,-18.6,0.0,4.1,A2,552.75,C1,B1
121,-438.6,1344.18,0.0,2000.0,343.47,-698.05,309.18,0.0,4,69.0,3,1.0,27.4,295.93,-129.09,0.0,21.2,A3,732.58,C1,B1
122,-425.6,1407.75,0.0,2000.0,231.06,-588.67,363.23,0.0,2,43.0,4,3.1,-1.0,472.53,-114.72,0.0,-12.0,A4,636.84,C1,B1
123,-583.6,1528.83,0.0,210.0,362.07,-745.84,534.64,0.0,4,94.0,0,1.3,11.9,366.29,-203.57,0.0,10.9,A2,748.68,C1,B1
124,-672.6,1351.82,0.0,2000.0,271.4,-465.51,464.15,0.0,3,30.0,2,3.4,-15.2,541.4,-141.07,0.9,-28.9,A1,587.0,C1,B1
125,-680.6,1393.17,0.0,2000.0,287.14,-831.09,,0.0,,36.0,4,1.5,-16.4,454.88,-58.74,0.5,-28.0,A1,,C1,B1
126,-418.6,1323.88,0.0,1686.0,317.28,-482.32,349.32,0.75,12,38.0,3,1.0,-0.8,466.47,-42.81,0.0,-13.3,A1,669.8,C1,B1
127,-667.6,1568.31,0.0,,358.87,-540.14,151.47,0.0,4,56.0,1,1.8,-7.1,483.16,-133.44,1.6,-14.4,A1,495.44,C1,B1
128,637.4,1604.06,0.0,2000.0,232.04,,342.0,0.0,23,52.0,5,1.3,25.9,596.59,-86.22,0.0,15.2,A3,602.74,C1,B1
129,899.4,1453.42,0.0,1118.0,306.2,-491.26,,0.39,17,63.0,1,3.2,15.7,,159.03,0.0,,A4,608.16,C1,B1
130,-478.6,1500.7,0.0,2000.0,148.75,-579.71,353.22,0.0,5,62.0,1,,19.1,321.84,45.07,0.0,11.6,A4,640.88,C1,B1
131,2260.4,1385.08,0.0,1880.0,193.48,-598.13,375.01,1.53,18,57.0,2,1.8,32.2,,50.14,0.0,22.5,A3,787.52,C1,B1
132,-263.6,1557.23,0.0,1909.0,251.77,-647.08,414.05,1.74,11,43.0,,,8.0,550.02,-94.31,0.0,-3.8,A2,588.75,C1,B1
133,215.4,1628.76,0.0,890.0,,-500.31,479.37,1.71,13,49.0,,,14.4,450.04,-179.77,0.0,3.8,A4,721.26,C1,B1
134,-550.6,1491.39,0.0,1052.0,177.62,-769.99,644.3,0.0,4,72.0,,0.5,6.1,539.86,-138.15,,1.4,A4,609.34,C1,B1
135,-649.6,1441.49,0.0,808.0,342.5,-768.21,421.22,0.0,,76.0,0,,5.0,423.88,-2.96,0.0,1.1,A1,664.97,C1,B1
136,-619.6,1207.28,0.0,2000.0,407.07,-436.52,351.34,0.0,4,62.0,4,2.4,5.7,494.44,119.88,0.0,-1.0,A2,599.68,C1,B1
137,481.4,1230.61,0.0,1485.0,544.33,-556.54,183.14,0.95,9,72.0,5,0.5,23.5,409.76,-31.23,,18.1,A4,601.48,C1,B1
138,1240.4,1521.5,0.0,1827.0,,-688.7,372.98,0.0,22,83.0,4,0.6,25.9,,-105.48,0.0,22.7,A3,,C1,B1
139,-336.6,1397.09,0.0,2000.0,297.62,-565.55,384.99,0.0,6,35.0,4,0.3,8.3,287.36,-91.58,0.0,-6.2,A2,552.62,C1,B1
140,1207.4,1312.8,0.0,1739.0,,-778.6,627.55,0.75,8,54.0,0,1.1,26.6,355.21,-207.74,0.0,16.5,A3,561.53,C1,B1
141,536.4,1423.13,0.0,1882.0,,-476.63,482.36,0.0,23,62.0,0,4.9,28.5,429.63,-192.95,0.0,,A3,660.24,C1,B1
142,-282.6,1601.68,0.0,309.0,,-613.09,224.38,0.0,19,85.0,6,1.7,5.7,,-177.26,0.0,3.3,A1,682.14,C1,B1
143,-704.6,1456.47,0.0,,240.99,-609.39,427.24,0.0,,75.0,1,0.8,13.6,510.66,-14.59,,9.2,A4,684.48,No,B1
144,-239.6,1374.23,0.0,,312.76,,569.1,1.42,13,,3,2.0,,383.78,-0.58,0.0,-1.2,A2,559.6,C1,B1
145,89.4,1386.97,0.0,1843.0,440.42,-451.68,536.09,1.81,10,,4,2.3,25.5,437.1,-20.31,0.0,15.2,A3,552.65,C1,B1
146,1113.4,1643.18,0.0,1971.0,542.0,-464.51,86.63,0.05,8,53.0,1,0.9,0.3,357.03,-95.56,0.0,-8.1,A4,800.85,C1,B1
147,433.4,1106.2,0.0,1958.0,402.96,-852.86,279.0,2.28,12,40.0,2,,18.4,504.87,191.35,0.0,4.5,A4,687.57,C1,B1
148,-144.6,1671.18,0.0,1512.0,372.4,-653.03,534.01,0.0,1,69.0,6,0.0,6.6,481.35,31.38,0.0,1.3,A4,672.1,C1,B1
149,960.4,1060.98,0.0,1408.0,519.22,-532.89,,0.21,18,82.0,6,0.4,26.2,378.15,-73.38,0.0,22.8,A3,827.6,C1,B1
150,-690.6,1180.89,1.5,350.0,227.47,,284.57,0.31,,96.0,0,2.2,9.5,,-22.18,0.0,8.8,A2,691.48,C1,B1
151,-93.6,1336.71,0.0,670.0,349.67,-392.85,519.25,0.94,,,0,2.9,7.7,414.29,-1.65,0.0,-1.8,A2,730.72,C1,B1
152,363.4,1181.07,0.0,984.0,336.17,-863.64,476.85,0.0,0,76.0,3,1.3,25.9,,-248.14,0.0,21.3,A3,599.3,C1,B1
153,741.4,1347.6,0.0,2000.0,429.06,-471.33,483.87,0.0,,44.0,3,2.2,25.0,324.86,27.51,0.0,11.8,A3,763.45,C1,B1
154,-490.6,1245.88,0.0,196.0,449.76,-636.99,451.48,0.14,16,98.0,3,1.2,10.7,389.18,-73.32,0.0,10.3,A2,,C1,B1
155,-115.6,1291.89,0.0,399.0,284.46,-622.24,639.1,1.11,11,56.0,5,2.0,9.0,490.12,-17.78,0.0,,A2,621.55,C1,B1
156,642.4,1243.18,0.0,912.0,448.05,-478.84,238.86,0.0,18,77.0,2,1.0,14.4,550.78,-137.88,,10.4,A4,685.25,C1,B1
157,394.4,1592.13,0.0,1678.0,242.25,-981.79,454.09,0.25,17,23.0,2,2.9,,521.62,-117.96,0.0,-12.2,A4,607.76,C1,B1
158,-426.6,1273.72,0.0,400.0,,-640.22,291.54,,,49.0,2,1.3,8.5,446.77,102.16,0.0,-1.6,A1,612.13,C1,B1
159,-592.6,1267.96,1.0,710.0,250.68,-612.39,322.67,0.0,3,87.0,,1.0,,417.42,-167.71,0.0,4.4,A4,757.34,C1,B1
160,1576.4,1435.21,0.0,1531.0,338.78,-492.5,,0.59,19,54.0,2,2.8,30.6,462.79,,0.0,20.2,A3,844.45,C1,B1
161,-304.6,1269.07,0.0,,554.65,-662.88,619.13,0.05,7,,4,2.3,24.2,,99.5,0.0,22.0,A3,697.28,C1,B1
162,-556.6,1405.57,0.0,2000.0,355.75,-462.3,263.53,0.0,4,65.0,6,1.1,6.8,349.96,-248.28,0.0,0.6,A4,660.35,C1,B1
163,512.4,1654.72,0.0,2000.0,451.24,-642.3,460.33,0.0,0,57.0,5,1.6,19.0,410.8,-78.17,0.0,10.2,A3,471.12,C1,B1
164,-438.6,,0.0,1813.0,546.54,-912.98,464.27,0.01,,76.0,6,0.4,26.4,425.48,-198.87,0.0,21.8,A3,768.53,C1,B1
165,1012.4,1652.51,,1297.0,,-438.53,385.1,0.0,21,64.0,3,1.5,19.6,368.83,-119.3,0.0,12.5,A2,839.33,C1,B1
166,-99.6,1454.92,0.0,1657.0,80.9,-503.88,388.94,,12,16.0,5,1.7,10.7,402.08,61.38,0.0,-14.1,A2,588.64,C1,B1
167,166.4,1430.51,0.0,430.0,457.98,-762.81,448.06,1.36,11,71.0,5,1.0,26.4,332.19,-115.22,0.0,20.7,A3,817.75,C1,B1
168,-692.6,1219.26,2.0,448.0,371.47,-679.38,184.59,0.0,3,90.0,4,0.8,3.8,400.81,-7.35,0.0,2.3,A2,668.03,C1,B1
169,2179.4,1107.06,0.0,1793.0,183.83,-316.32,415.86,1.43,18,60.0,4,2.5,30.8,408.57,37.5,0.0,22.1,A3,685.63,C1,B1
170,-492.6,,0.0,1549.0,519.22,-701.92,527.5,0.0,4,,2,2.6,28.5,384.82,26.8,0.0,23.4,A3,686.97,C1,B1
171,167.4,971.61,0.0,2000.0,301.39,-671.38,74.32,0.0,0,68.0,1,,29.3,384.21,-153.62,0.0,22.7,A3,664.48,C1,B1
172,-597.6,1305.53,0.0,666.0,399.47,-692.34,407.03,,,81.0,4,0.4,8.0,450.47,-80.14,,4.9,A4,771.5,C1,B1
